Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Glasses","The Basic Glasses that I will use to house the components with 3D Printed attatchments to it.",1,13.70,"https://a.co/d/0j5NiLqE","Amazon"
"XIAO ESP32S3 Sense","This component has the microcontroller, microphone, and camera all in one component. All in all, this is the brains of the machine!",1,13.99,"https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html","Seed Studio"
